year;age;dx;
2008;99;75;
2008;100;48;
2008;101;25;
2008;102;23;
2008;103;8;
2008;104;1;
2008;105;3;
2008;106;2;
2008;107;1;
2008;108;1;
2009;92;395;
2009;93;609;
2009;94;468;
2009;95;367;
2009;96;251;
2009;97;157;
2009;98;110;
2009;99;81;
2009;100;53;
2009;101;25;
2009;102;10;
2009;103;11;
2009;104;1;
2009;106;1;
2010;92;384;
2010;93;615;
2010;94;512;
2010;95;365;
2010;96;295;
2010;97;163;
2010;98;137;
2010;99;77;
2010;100;57;
2010;101;32;
2010;102;20;
2010;103;10;
2010;104;5;
2010;105;3;
2010;106;1;
2010;107;1;
2011;92;367;
2011;93;654;
2011;94;457;
2011;95;370;
2011;96;274;
2011;97;201;
2011;98;132;
2011;99;83;
2011;100;52;
2011;101;39;
2011;102;28;
2011;103;3;
2011;104;3;
2011;105;4;
2011;106;2;
2011;107;1;
2011;108;1;
2012;92;469;
2012;93;673;
2012;94;579;
2012;95;425;
2012;96;272;
2012;97;215;
2012;98;150;
2012;99;109;
2012;100;43;
2012;101;32;
2012;102;22;
2012;103;8;
2012;104;6;
2012;105;3;
2012;106;5;
2012;107;1;
2012;110;1;
2013;92;550;
2013;93;875;
2013;94;522;
2013;95;435;
2013;96;296;
2013;97;223;
2013;98;149;
2013;99;104;
2013;100;63;
2013;101;40;
2013;102;18;
2013;103;7;
2013;104;8;
2013;105;5;
2013;106;5;
2013;107;2;
2014;92;521;
2014;93;898;
2014;94;691;
2014;95;395;
2014;96;317;
2014;97;223;
2014;98;146;
2014;99;108;
2014;100;68;
2014;101;40;
2014;102;23;
2014;103;14;
2014;104;5;
2014;105;1;
2014;106;2;
2014;107;1;
2015;92;623;
2015;93;1004;
2015;94;751;
2015;95;595;
2015;96;322;
2015;97;230;
2015;98;176;
2015;99;97;
2015;100;74;
2015;101;46;
2015;102;22;
2015;103;17;
2015;104;7;
2015;105;1;
2015;107;1;
